#separator:tab
#html:true
What's the definition of the dot product?	<br>\[\vec x \cdot \vec y = \sum_{i=1}^n x_iy_i,\ \ \vec x, \vec y \in \mathbb{R}^n\]
"<!-- ===== CARD CONTENT & HINT ===== -->

<div class=""content_aligned"";>

	What's training&nbsp;process&nbsp;transparency?
	<br>

	

	<script>
    	    var hint = document.getElementById('hint');
    	    hint.addEventListener('touchstart', function() { this.setAttribute('class', 'shown'); });
        hint.addEventListener('mousedown', function() { this.setAttribute('class', 'shown'); });
	</script>

</div>




<!-- ===== QUOTEBOX ===== -->

<script>
	var quoteColor = ""#"";
	for (var i = 0; i < 6; i++) { quoteColor += ""CDEF""[Math.floor(Math.random() * 4)]; }
	Array.from(document.getElementsByClassName(""quotebox"")).forEach(element => { element.style.backgroundColor = quoteColor });
</script>


<!-- ===== SPOILERS ===== -->

<script>
	var all = document.querySelectorAll('i, em, [style*=""font-style: italic""]');
	for (var i = 0; i < all.length; i++) {
		all[i].addEventListener('click', function() { this.style.color = ""white""; });
	}
</script>"	"<!-- ===== CARD CONTENT & HINT ===== -->

<div class=""content_aligned"";>

	What's training&nbsp;process&nbsp;transparency?
	<br>

	

	<br>

	<hr style=""height:1px;border-width:0;color:gray;background-color:gray"">	
	<hr style=""height:1px; visibility:hidden;"">
	Training&nbsp;process&nbsp;transparency refers to incentivising a model during the training process&nbsp;to be as transparent as possible.

	<br>

</div>



<!-- ===== QUOTEBOX ===== -->

<script>
	Array.from(document.getElementsByClassName(""quotebox"")).forEach(element => { element.style.backgroundColor = quoteColor }); 
</script>

<!-- ===== SPOILERS ===== -->

<script>
	document.querySelectorAll('i, em, [style*=""font-style: italic""]').forEach(item => item.style.color = 'white');
</script>"
"<!-- ===== CARD CONTENT & HINT ===== -->

<div class=""content_aligned"";>

	What's architectural transparency?
	<br>

	

	<script>
    	    var hint = document.getElementById('hint');
    	    hint.addEventListener('touchstart', function() { this.setAttribute('class', 'shown'); });
        hint.addEventListener('mousedown', function() { this.setAttribute('class', 'shown'); });
	</script>

</div>




<!-- ===== QUOTEBOX ===== -->

<script>
	var quoteColor = ""#"";
	for (var i = 0; i < 6; i++) { quoteColor += ""CDEF""[Math.floor(Math.random() * 4)]; }
	Array.from(document.getElementsByClassName(""quotebox"")).forEach(element => { element.style.backgroundColor = quoteColor });
</script>


<!-- ===== SPOILERS ===== -->

<script>
	var all = document.querySelectorAll('i, em, [style*=""font-style: italic""]');
	for (var i = 0; i < all.length; i++) {
		all[i].addEventListener('click', function() { this.style.color = ""white""; });
	}
</script>"	"<!-- ===== CARD CONTENT & HINT ===== -->

<div class=""content_aligned"";>

	What's architectural transparency?
	<br>

	

	<br>

	<hr style=""height:1px;border-width:0;color:gray;background-color:gray"">	
	<hr style=""height:1px; visibility:hidden;"">
	Architectural transparency refers to structuring models such that they are inherently more transparent, e.g. SoLU vs. GELU models.

	<br>

</div>



<!-- ===== QUOTEBOX ===== -->

<script>
	Array.from(document.getElementsByClassName(""quotebox"")).forEach(element => { element.style.backgroundColor = quoteColor }); 
</script>

<!-- ===== SPOILERS ===== -->

<script>
	document.querySelectorAll('i, em, [style*=""font-style: italic""]').forEach(item => item.style.color = 'white');
</script>"
"<!-- ===== CARD CONTENT & HINT ===== -->

<div class=""content_aligned"";>

	What is the connection between the training goal/rationale framing and the outer/inner alignment framing?
	<br>

	

	<script>
    	    var hint = document.getElementById('hint');
    	    hint.addEventListener('touchstart', function() { this.setAttribute('class', 'shown'); });
        hint.addEventListener('mousedown', function() { this.setAttribute('class', 'shown'); });
	</script>

</div>




<!-- ===== QUOTEBOX ===== -->

<script>
	var quoteColor = ""#"";
	for (var i = 0; i < 6; i++) { quoteColor += ""CDEF""[Math.floor(Math.random() * 4)]; }
	Array.from(document.getElementsByClassName(""quotebox"")).forEach(element => { element.style.backgroundColor = quoteColor });
</script>


<!-- ===== SPOILERS ===== -->

<script>
	var all = document.querySelectorAll('i, em, [style*=""font-style: italic""]');
	for (var i = 0; i < all.length; i++) {
		all[i].addEventListener('click', function() { this.style.color = ""white""; });
	}
</script>"	"<!-- ===== CARD CONTENT & HINT ===== -->

<div class=""content_aligned"";>

	What is the connection between the training goal/rationale framing and the outer/inner alignment framing?
	<br>

	

	<br>

	<hr style=""height:1px;border-width:0;color:gray;background-color:gray"">	
	<hr style=""height:1px; visibility:hidden;"">
	<ul>
<li>training rationale = inner alignment = How do you get models that do what you want?</li>
<li>training goal = outer alignment = What should you get your models to do?</li></ul>

	<br>

</div>



<!-- ===== QUOTEBOX ===== -->

<script>
	Array.from(document.getElementsByClassName(""quotebox"")).forEach(element => { element.style.backgroundColor = quoteColor }); 
</script>

<!-- ===== SPOILERS ===== -->

<script>
	document.querySelectorAll('i, em, [style*=""font-style: italic""]').forEach(item => item.style.color = 'white');
</script>"
What's the difference between torch's DistributedDataParallel and its DataParallel modules?	"One allows multi-node, multi-GPU training; the other single-node multi-GPU. There are a bunch of reasons why you would still want DDP even if single-node, including that it is <i>just faster</i>. See also <a href=""https://pytorch.org/docs/stable/notes/cuda.html#cuda-nn-ddp-instead"">here</a>."
What's the complexity for insertion and deletion in a binary search tree? How about for an array?	It's&nbsp;\(\mathcal{O}(\log n)\)&nbsp;for trees,&nbsp;\(\mathcal{O}(n)\)&nbsp;for arrays.
What's a red-black tree?	It's a self-balancing binary search tree, where each node stores an extra bit of information – the colour – which is used to balance the tree.
What's the deal with balancing binary search trees?	"Trees can get arbitrarily deep as you add elements to them. The deeper they are, the worse complexity they have for standard operations (insertion, deletion, search).<br><br>We want our trees to be balanced. That is, at each node, if we ""choose"" the right subtree, we should be discarding about half of the remaining tree (the left subtree). If the tree is unbalanced and the left subtree is empty, it's just like traversing a list – O(n), not O(log n)."
What kind of data structure do you use a binary search on? What is its complexity?	On a sorted array or tree. Its complexity is O(log n), because it ignores the other half of the array when it searches in the lower or upper half.
Which grows faster:&nbsp;\(\sqrt{n}\)&nbsp;or&nbsp;\(\log n\)?	The square root grows faster. For example,&nbsp;\(\sqrt{1000} \approx 31\)&nbsp;while&nbsp;\(\log 1000 \approx 10\).
Which grows faster:&nbsp;\(\mathcal{O}(\log n)\)&nbsp;or&nbsp;\(\mathcal{O}(n)\)?	The linear grows faster. 10 &gt; log 10.&nbsp;
Which grows faster:&nbsp;\(\mathcal{O}(n \log n)\)&nbsp;or&nbsp;\(\mathcal{O}(\log n)\)?	The product grows faster: 10 * log 10 &gt; log 10. Of course, nlog n is better when n &lt; 1, but we're interested in the growth, as n gets very large.
Which grows faster:&nbsp;\(\mathcal{O}(n \log n)\)&nbsp;or&nbsp;\(\mathcal{O}(n^2)\)?	The quadratic grows faster. Think about it: the quadratic is&nbsp;\(n * n\);&nbsp;\(\log n\)&nbsp;grows more slowly than&nbsp;\(n\), so the product&nbsp;\(n \log n\)&nbsp;<i>must</i>&nbsp;grow more slowly than the product&nbsp;\(n*n\).
Which grows faster:&nbsp;\(\mathcal{O}(2^n)\)&nbsp;or&nbsp;\(\mathcal{O}(n^2)\)?	The exponential is pretty much the worst case – it grows much faster.
Which grows faster:&nbsp;\(\mathcal{O}(n!)\)&nbsp;or&nbsp;\(\mathcal{O}(2^n)\)?	The factorial grows faster.&nbsp;\(5! = 120;\ 2^5 = 32\).
What does `Tensor.squeeze()` do in Pytorch?	It removes&nbsp;<b>all</b>&nbsp;dimensions which are 1. Example: (1, 1, 28, 28) -&gt; (28, 28).
What are the average and worst-case time and space complexities for insertion sort?	Time:&nbsp;\(\mathcal{O}(n^2)\)&nbsp;because it iterates through the list twice.<br>Space:&nbsp;\(\mathcal{O}(n)\), it can work in place with just one auxiliary variable for swapping.<br><br>(These are both average and worst.)
What's the idea behind bubble sort?	"Loop through the entire array until no more pair-wise swaps need to be made, thus ""bubbling"" the large numbers to the top."
What's the complexity of bubble-sort?	It's quadratic because you loop through the entire array to swap pairs of items.
"<!-- ===== CARD CONTENT & HINT ===== -->

<div class=""content_aligned"";>

	What is Python's execution model? What's happening behind the scenes when I run&nbsp;<code>python something.py</code>?
	<br>

	

	<script>
    	    var hint = document.getElementById('hint');
    	    hint.addEventListener('touchstart', function() { this.setAttribute('class', 'shown'); });
        hint.addEventListener('mousedown', function() { this.setAttribute('class', 'shown'); });
	</script>

</div>




<!-- ===== QUOTEBOX ===== -->

<script>
	var quoteColor = ""#"";
	for (var i = 0; i < 6; i++) { quoteColor += ""CDEF""[Math.floor(Math.random() * 4)]; }
	Array.from(document.getElementsByClassName(""quotebox"")).forEach(element => { element.style.backgroundColor = quoteColor });
</script>


<!-- ===== SPOILERS ===== -->

<script>
	var all = document.querySelectorAll('i, em, [style*=""font-style: italic""]');
	for (var i = 0; i < all.length; i++) {
		all[i].addEventListener('click', function() { this.style.color = ""white""; });
	}
</script>"	"<!-- ===== CARD CONTENT & HINT ===== -->

<div class=""content_aligned"";>

	What is Python's execution model? What's happening behind the scenes when I run&nbsp;<code>python something.py</code>?
	<br>

	

	<br>

	<hr style=""height:1px;border-width:0;color:gray;background-color:gray"">	
	<hr style=""height:1px; visibility:hidden;"">
	1. An interpreter and thread state are initialised. <br>2. Source code is compiled into code objects – bytecode –, which are attached to a frame. <br>3. Code objects are dispatched to a big eval loop which executes the opcodes in the objects.

	<br>

</div>



<!-- ===== QUOTEBOX ===== -->

<script>
	Array.from(document.getElementsByClassName(""quotebox"")).forEach(element => { element.style.backgroundColor = quoteColor }); 
</script>

<!-- ===== SPOILERS ===== -->

<script>
	document.querySelectorAll('i, em, [style*=""font-style: italic""]').forEach(item => item.style.color = 'white');
</script>"
"<!-- ===== CARD CONTENT & HINT ===== -->

<div class=""content_aligned"";>

	How does the Python interpreter/virtual machine compile Python source code into bytecode?
	<br>

	

	<script>
    	    var hint = document.getElementById('hint');
    	    hint.addEventListener('touchstart', function() { this.setAttribute('class', 'shown'); });
        hint.addEventListener('mousedown', function() { this.setAttribute('class', 'shown'); });
	</script>

</div>




<!-- ===== QUOTEBOX ===== -->

<script>
	var quoteColor = ""#"";
	for (var i = 0; i < 6; i++) { quoteColor += ""CDEF""[Math.floor(Math.random() * 4)]; }
	Array.from(document.getElementsByClassName(""quotebox"")).forEach(element => { element.style.backgroundColor = quoteColor });
</script>


<!-- ===== SPOILERS ===== -->

<script>
	var all = document.querySelectorAll('i, em, [style*=""font-style: italic""]');
	for (var i = 0; i < all.length; i++) {
		all[i].addEventListener('click', function() { this.style.color = ""white""; });
	}
</script>"	"<!-- ===== CARD CONTENT & HINT ===== -->

<div class=""content_aligned"";>

	How does the Python interpreter/virtual machine compile Python source code into bytecode?
	<br>

	

	<br>

	<hr style=""height:1px;border-width:0;color:gray;background-color:gray"">	
	<hr style=""height:1px; visibility:hidden;"">
	<ol>
<li>Parse Python source code into a parse tree (by the Python parser)</li>
<li>Transform parse tree into an <a href=""https://www.notion.so/abstract-syntax-tree-AST-ab0d7b48ad5044fc90277216e677ac38"">abstract syntax tree (AST)</a></li>
<li>Generate a symbol table, i.e. a collection of names contained within a code block, including their scoping</li>
<li>Generate a code object from the AST
<ul>
<li>AST → control flow graph</li>
<li>emit a code object from the control flow graph</li>
</ul>
</li></ol>

	<br>

</div>



<!-- ===== QUOTEBOX ===== -->

<script>
	Array.from(document.getElementsByClassName(""quotebox"")).forEach(element => { element.style.backgroundColor = quoteColor }); 
</script>

<!-- ===== SPOILERS ===== -->

<script>
	document.querySelectorAll('i, em, [style*=""font-style: italic""]').forEach(item => item.style.color = 'white');
</script>"
"<!-- ===== CARD CONTENT & HINT ===== -->

<div class=""content_aligned"";>

	What happens if the OS schedules a Python thread which doesn't hold the GIL?
	<br>

	

	<script>
    	    var hint = document.getElementById('hint');
    	    hint.addEventListener('touchstart', function() { this.setAttribute('class', 'shown'); });
        hint.addEventListener('mousedown', function() { this.setAttribute('class', 'shown'); });
	</script>

</div>




<!-- ===== QUOTEBOX ===== -->

<script>
	var quoteColor = ""#"";
	for (var i = 0; i < 6; i++) { quoteColor += ""CDEF""[Math.floor(Math.random() * 4)]; }
	Array.from(document.getElementsByClassName(""quotebox"")).forEach(element => { element.style.backgroundColor = quoteColor });
</script>


<!-- ===== SPOILERS ===== -->

<script>
	var all = document.querySelectorAll('i, em, [style*=""font-style: italic""]');
	for (var i = 0; i < all.length; i++) {
		all[i].addEventListener('click', function() { this.style.color = ""white""; });
	}
</script>"	"<!-- ===== CARD CONTENT & HINT ===== -->

<div class=""content_aligned"";>

	What happens if the OS schedules a Python thread which doesn't hold the GIL?
	<br>

	

	<br>

	<hr style=""height:1px;border-width:0;color:gray;background-color:gray"">	
	<hr style=""height:1px; visibility:hidden;"">
	Nothing – all it can do is wait to acquire the GIL. The Python virtual machine doesn't let that thread execute opcodes.

	<br>

</div>



<!-- ===== QUOTEBOX ===== -->

<script>
	Array.from(document.getElementsByClassName(""quotebox"")).forEach(element => { element.style.backgroundColor = quoteColor }); 
</script>

<!-- ===== SPOILERS ===== -->

<script>
	document.querySelectorAll('i, em, [style*=""font-style: italic""]').forEach(item => item.style.color = 'white');
</script>"
